NO.,UNICODE,UTF8
0248,0x2492,utf8:E2-92-92:⒒
0249,0x2493,utf8:E2-92-93:⒓
0250,0x2494,utf8:E2-92-94:⒔
0251,0x2495,utf8:E2-92-95:⒕
0252,0x2496,utf8:E2-92-96:⒖
0253,0x2497,utf8:E2-92-97:⒗
0254,0x2498,utf8:E2-92-98:⒘
0255,0x2499,utf8:E2-92-99:⒙
0256,0x249A,utf8:E2-92-9A:⒚
0257,0x249B,utf8:E2-92-9B:⒛
0258,0x2500,utf8:E2-94-80:─
0259,0x2501,utf8:E2-94-81:━
0260,0x2502,utf8:E2-94-82:│
0261,0x2503,utf8:E2-94-83:┃
0262,0x2504,utf8:E2-94-84:┄
0263,0x2505,utf8:E2-94-85:┅
0264,0x2506,utf8:E2-94-86:┆
0265,0x2507,utf8:E2-94-87:┇
0266,0x2508,utf8:E2-94-88:┈
0267,0x2509,utf8:E2-94-89:┉
0268,0x250A,utf8:E2-94-8A:┊
0269,0x250B,utf8:E2-94-8B:┋
0270,0x250C,utf8:E2-94-8C:┌
0271,0x250D,utf8:E2-94-8D:┍
0272,0x250E,utf8:E2-94-8E:┎
0273,0x250F,utf8:E2-94-8F:┏
0274,0x2510,utf8:E2-94-90:┐
0275,0x2511,utf8:E2-94-91:┑
0276,0x2512,utf8:E2-94-92:┒
0277,0x2513,utf8:E2-94-93:┓
0278,0x2514,utf8:E2-94-94:└
0279,0x2515,utf8:E2-94-95:┕
0280,0x2516,utf8:E2-94-96:┖
0281,0x2517,utf8:E2-94-97:┗
0282,0x2518,utf8:E2-94-98:┘
0283,0x2519,utf8:E2-94-99:┙
0284,0x251A,utf8:E2-94-9A:┚
0285,0x251B,utf8:E2-94-9B:┛
0286,0x251C,utf8:E2-94-9C:├
0287,0x251D,utf8:E2-94-9D:┝
0288,0x251E,utf8:E2-94-9E:┞
0289,0x251F,utf8:E2-94-9F:┟
0290,0x2520,utf8:E2-94-A0:┠
0291,0x2521,utf8:E2-94-A1:┡
0292,0x2522,utf8:E2-94-A2:┢
0293,0x2523,utf8:E2-94-A3:┣
0294,0x2524,utf8:E2-94-A4:┤
0295,0x2525,utf8:E2-94-A5:┥
0296,0x2526,utf8:E2-94-A6:┦
0297,0x2527,utf8:E2-94-A7:┧
0298,0x2528,utf8:E2-94-A8:┨
0299,0x2529,utf8:E2-94-A9:┩
0300,0x252A,utf8:E2-94-AA:┪
0301,0x252B,utf8:E2-94-AB:┫
0302,0x252C,utf8:E2-94-AC:┬
0303,0x252D,utf8:E2-94-AD:┭
0304,0x252E,utf8:E2-94-AE:┮
